,cols,n_estimators,min_samples_leaf,max_features,ac(train),ac(test),pr(train),pr(test),re(train),re(test),f1(train),f1(test)
0,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,1,auto,0.9998705702674018,0.7757858146586791,0.9999498902596686,0.766287487073423,0.9996994168687253,0.5644469390209678,0.9998246378772163,0.6500600240096038
1,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,2,auto,0.9934101776145731,0.7735966274683825,0.997079107505071,0.757219879357284,0.9850309600625213,0.5686966283125526,0.9910184167817505,0.6495558201300485
2,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,3,auto,0.9727531922919047,0.7724872420678944,0.987542194092827,0.7580976031094796,0.9380097388934533,0.5630036483181654,0.9621388857486408,0.6461453516460763
3,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,4,auto,0.948368630670409,0.7702240958508986,0.973606390960851,0.7564458980648678,0.8840751057050679,0.5563484745219099,0.9266832603421659,0.6411476621696545
4,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,5,auto,0.926202864464882,0.7671769839508912,0.9584759192485244,0.7526492066106627,0.8362823878323948,0.549573026500421,0.893219468344677,0.6352766706831031
5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,6,auto,0.9075538889936653,0.7653132164780712,0.943858358352419,0.7517333185423485,0.796926036510831,0.5433588581966885,0.8641912264022816,0.6307828353346364
6,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,7,auto,0.8914935081744121,0.7629169440130168,0.9298996998316128,0.7505198673635699,0.7635713283770514,0.5353806679228641,0.8385673415492957,0.6249532010482964
7,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,8,auto,0.8786910586242729,0.7606833814067007,0.9173747290259886,0.7443131132917038,0.7377712762759754,0.5352203022892195,0.8178284241858813,0.6226824319597005
8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,9,auto,0.8662325223636088,0.759248576288736,0.9053728642959981,0.746347564095276,0.7119812436126085,0.5263601010303492,0.7971148614920383,0.6173414209808624
9,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,auto,0.8556636601988781,0.7580504400562088,0.8946889896221636,0.7449224098585121,0.6901689277197763,0.5234735196247444,0.7792326792875445,0.6148666148666149
10,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,11,auto,0.8475391709840727,0.7562310479994083,0.8847538227103148,0.7425345331575629,0.6748191491493497,0.5193841959668043,0.765656795316319,0.6112290634583628
11,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,12,auto,0.8399767766079795,0.7545891576066859,0.8765402496370006,0.7375696893844579,0.6592890207001583,0.5197851100509161,0.7525489635453895,0.6098163260506574
12,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,13,auto,0.8319780191334125,0.7536572738702758,0.8670275962628936,0.7380118302417734,0.6434382702442739,0.5152146894920419,0.7386843346331251,0.6068089526867505
