,cols,n_estimators,min_samples_leaf,max_features,ac(train),ac(test),pr(train),pr(test),re(train),re(test),f1(train),f1(test)
0,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",10,1,auto,0.9858958571391592,0.7848975667480216,0.9976498089684295,0.7423840024996095,0.9563054163454124,0.45806824754193176,0.9765402027359511,0.5665573770491804
1,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",11,1,auto,0.9925078674787458,0.789068855853857,0.9951331653990071,0.7100492100492101,0.980387432536623,0.5285328706381338,0.9877052662240725,0.6059902740937223
2,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",12,1,auto,0.9899969306663412,0.7874861326824939,0.998336870586191,0.7449896337249482,0.9690270817270624,0.4676113360323887,0.9834636475342189,0.5745758194900952
3,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",13,1,auto,0.9947673408106739,0.7911397086014348,0.9970515491550617,0.7196156394963552,0.985868831919815,0.5233757470599576,0.9914286579640792,0.6060047993749652
4,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",14,1,auto,0.9927926128904617,0.7897788625101694,0.9991010405763192,0.7488577520560463,0.9773997686969931,0.4739733950260266,0.9881312685353778,0.5805194805194804
5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",15,1,auto,0.9959137184422577,0.7970860143480512,0.9977634889572268,0.7344583778014941,0.9889046838858905,0.5307017543859649,0.9933143351544963,0.6161723559037493
6,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",16,1,auto,0.9943901455899592,0.7935211892611493,0.9991914043835683,0.7559375706853653,0.9825197571318427,0.4832272990167727,0.9907854535294082,0.5895739613654406
7,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",17,1,auto,0.9967494647156059,0.7982989423859183,0.9986642217877569,0.7406279604817972,0.990735832690825,0.5275207248891459,0.9946842286688801,0.6161684400157631
8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",18,1,auto,0.9960024702588964,0.7945566156349383,0.9994513332601778,0.759084384679308,0.9875192752505783,0.484287642182379,0.9934494773519164,0.5913196998675887
9,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",19,1,auto,0.9975519290577146,0.7966274683825161,0.9990061810689613,0.7401029159519725,0.9930127216653817,0.5199055330634278,0.9960004349980063,0.6107635251818928
10,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",20,1,auto,0.9966976928225666,0.7954737075660084,0.9994890448788915,0.7591940678600854,0.9897479760986893,0.4885290148448043,0.9945946600325652,0.5945042376609285
11,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",21,1,auto,0.9981362118505863,0.7983285259965979,0.9992617335947522,0.743296853625171,0.9946631649961449,0.5237613263929053,0.9969571464795876,0.6145102917891879
12,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",22,1,auto,0.9973855194015169,0.7959914207529029,0.9996357499301854,0.7596297402209615,0.9918441595990748,0.49045691150954307,0.9957247126124001,0.5960637300843487
13,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",23,1,auto,0.9985947629032198,0.8018193920568005,0.9996130218158952,0.7537632923629333,0.995807632999229,0.5261229998072103,0.9977066988533495,0.6196991200681238
14,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",24,1,auto,0.9980696479881073,0.7996302048665039,0.9997697639474578,0.7682908657428104,0.9939403430994603,0.4970117601696549,0.9968465311843028,0.6035703833772315
15,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",25,1,auto,0.9988943002843756,0.8007100066563124,0.9996496188094289,0.7491950400767281,0.9967473014649191,0.5270869481395797,0.9981963504750415,0.6188145423680859
