,cols,n_estimators,min_samples_leaf,max_features,max_leaf_nodes,ac(train),ac(test),pr(train),pr(test),re(train),re(test),f1(train),f1(test)
0,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,100,0.7533587015609226,0.7503291176688115,0.6868652288029213,0.6781501591462273,0.3622804588845686,0.3502054628958182,0.47436281386441376,0.46188669620939204
1,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,200,0.7616606944090053,0.7563050070261076,0.7085386614102679,0.6923076923076923,0.380782703952041,0.36635242929659173,0.49535293426770544,0.47915020075242637
2,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,300,0.768479792320749,0.7607573404333999,0.7211750464744282,0.6981811791582462,0.40162030070662447,0.38414309886391107,0.515924010113428,0.4956028191854301
3,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,400,0.7727990473971681,0.7640707048295244,0.7312890257463006,0.7066422274591952,0.4116719432774374,0.3913947304810249,0.5267916971540801,0.5037645448323067
4,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,500,0.7771552823971866,0.7661415575771023,0.7410899251680548,0.7090659576292992,0.42202453323060996,0.3996615905245347,0.5377942428495824,0.511192184021766
5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,600,0.7806055092690178,0.7683899119887583,0.7505011500073854,0.7179398248504292,0.4281518219354528,0.4002900652646846,0.5452468918152412,0.5139983859954063
6,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,700,0.7841777698887274,0.7696620072479846,0.7565356423513777,0.717852577758841,0.4385886771556861,0.40725163161711386,0.555269374380858,0.5196792103639729
7,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,800,0.7878387823250758,0.7717624436062421,0.7660186737883775,0.7224997882970615,0.4454141637876034,0.4124728063814358,0.5632925845296635,0.5251431033421554
8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,900,0.7909598878768717,0.7732859995562459,0.7723755772190867,0.7257330637007078,0.45303415150895016,0.4163886874546773,0.5710947221463474,0.5291678186342272
9,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,1000,0.7935373885517553,0.774395384956734,0.7774495823996741,0.7279899286613513,0.4594262739102695,0.4193376843123036,0.5775531359478213,0.5321472392638037
10,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,1100,0.7961629631273182,0.7755491457732416,0.7819700577055002,0.7292238582480659,0.4665406700292521,0.42378535170413345,0.5844096114843214,0.5360484314804623
11,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,1200,0.7986184300543235,0.7764218622882922,0.7873468567985539,0.7305845338632224,0.47190957133054856,0.42658931592941746,0.5901205018779024,0.538656411195556
12,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,1300,0.8014030183013642,0.777294578803343,0.7935349739120005,0.7329305636017546,0.47784425371068123,0.42813633067440177,0.5964957097990894,0.54052734375
13,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,1400,0.8032187325500986,0.7776347903261593,0.797307523798144,0.7340178867174562,0.4819491760060671,0.4285230843606478,0.6007577746933264,0.5411312231006379
14,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,1500,0.8054929978514664,0.7792175134975223,0.8021136953978546,0.737093454096336,0.48696897834382635,0.4327773749093546,0.6060192953020134,0.545354858361255
15,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,1600,0.8079188808395922,0.7792323053028622,0.8069860555018639,0.7357177934195449,0.492530485969833,0.4345661107082427,0.611712465986903,0.5463939458408047
16,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,1700,0.8091983861961342,0.7796760594630575,0.8082218609843514,0.735404130752968,0.4967678251134572,0.4372250423011844,0.6153284127339148,0.5484037231300972
17,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,1800,0.8117389069474182,0.7809037793062643,0.8140206990822105,0.7384103271900625,0.5018117032418052,0.43969059705100316,0.6208771158987497,0.5511787164414278
18,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,1900,0.8145345891715388,0.7825752533096665,0.817716778627133,0.7416828165374677,0.5099372825655163,0.4440415760212715,0.6281519925857275,0.5555051558861773
19,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,2000,0.8161986857335153,0.7821314991494712,0.8216006785149774,0.7396973599484868,0.5130912111326456,0.4442832970751752,0.6316904904815893,0.5551360657223111
20,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,2100,0.8178738762725716,0.7831373419125804,0.8257092779136732,0.7434529582929195,0.5160645712703591,0.4446700507614213,0.6351581598636936,0.5564933297032398
21,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,2200,0.8200298058184212,0.7830190074698617,0.8289478716487552,0.74029397667359,0.5218307231163704,0.4480058013052937,0.6404757507479777,0.5582025720567418
22,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,2300,0.8213499890909225,0.7839213075955921,0.8318219133622253,0.7428662776756454,0.5244910979764298,0.44931109499637417,0.6433370247323736,0.5599469815640439
23,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,2400,0.8233173210264148,0.7849123585533614,0.8343850074848881,0.746390760346487,0.5300646434977309,0.4498912255257433,0.6482877418215012,0.5613971586281784
24,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,2500,0.8239718656741255,0.7850159011907404,0.8344964164466239,0.7456273460586215,0.5326166773001408,0.4513415518491661,0.6502266865553196,0.5623080166235018
25,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,2600,0.8273259447445982,0.7843502699504474,0.8418955243519615,0.7422246905744209,0.5391532544449928,0.45226009185400046,0.6573420415351875,0.5620475232058638
26,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,2700,0.8289974372912946,0.7851786110494786,0.8445246870848847,0.7441749881122206,0.5433785556933226,0.45395213923132705,0.6612803984764137,0.5639131609764886
27,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,2800,0.8301881908311978,0.7859625767324901,0.8461122808325103,0.7450130095403296,0.5466408253181014,0.4568044476673918,0.6641801959923944,0.5663509949652362
28,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,2900,0.8306763258227109,0.7851786110494786,0.8469154182562576,0.7434803224276908,0.5478325769522456,0.4548223350253807,0.6653070771749776,0.5643840547106992
29,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,3000,0.8328692352921598,0.7873677982397752,0.8515891875835437,0.7487777953004258,0.5521782571535193,0.4590766255740875,0.6699528973600615,0.569185123025744
30,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,3100,0.8347626073804532,0.7874121736557947,0.8546039018622524,0.7494271039114975,0.5568489605277414,0.4584964950447184,0.6743197836718927,0.5689262147570486
31,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,3200,0.8355280917989624,0.7874269654611346,0.8549748910104299,0.7470652684301142,0.5595093353878008,0.46149383611312544,0.6763828455840621,0.570540597077369
32,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,3300,0.8377099072913315,0.7873530064344353,0.8585152518801807,0.7473923613834209,0.5647819335267422,0.4607203287406333,0.6813389485913447,0.5700442636679028
33,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,3400,0.8385456535646797,0.7885067672509429,0.8595959780287962,0.7506868671010284,0.5670450578420869,0.46231568769639836,0.6833248712555305,0.5722235519387266
34,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,3500,0.8404464216376929,0.7898232379261889,0.8633707701549047,0.7528897219618869,0.5709694117080569,0.4660381919265168,0.6873659498000115,0.5757114276329541
35,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,3600,0.8408458048125672,0.7886103098883218,0.864247629792732,0.7489487618750973,0.571715761216309,0.4649746192893401,0.6881846635367763,0.5737465326453306
36,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,3700,0.8425949551988225,0.7895126100140523,0.8665038002171552,0.7526814374070304,0.5764105403811197,0.46478124244621705,0.6922960146315721,0.574690656943033
37,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,3800,0.8442368638066394,0.7886398934990015,0.8693848096698539,0.7494150678521292,0.5801061742364965,0.46453952139231325,0.6958794521339196,0.5735517951472827
38,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,3900,0.8446325489891537,0.7902374084757045,0.8701162895519697,0.7543009071004066,0.580960864802398,0.46632825719120136,0.6967286481492175,0.5763451139724554
39,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,4000,0.846529619069807,0.7901338658383256,0.8721575649059982,0.7521931527055353,0.5863658797895775,0.46840705825477397,0.7012618682560592,0.5773103735923255
40,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,4100,0.847528077006993,0.7894534427926928,0.8741727776784117,0.7504853614972431,0.5883521325131514,0.46719845298525503,0.7033335491901771,0.5758893987247482
41,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,4200,0.8483194473720217,0.7904001183344427,0.8748395607529948,0.7512533744697262,0.5907597115720288,0.4708726130045927,0.7052677718137204,0.5789004457652303
42,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,4300,0.8498541142014001,0.7909030397159973,0.8776432090202565,0.7537388609066253,0.5940580948826907,0.47024413826444283,0.7085283560660445,0.5791604644239358
43,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,4400,0.8503829271088726,0.7910065823533762,0.8784503890013855,0.7536759015632255,0.5953341117838957,0.47082426879381195,0.7096987134872175,0.5795816347784688
44,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,4500,0.8512149753898608,0.790281783891724,0.8808748999733262,0.7516825249477838,0.596309181302741,0.46976069615663524,0.7111825764862963,0.5781863620135667
45,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,4600,0.8528199040740782,0.7905924118038606,0.8808999841552085,0.7516576715497302,0.6023281289499344,0.47130771090161955,0.7154541294898192,0.5793492794532759
46,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,4700,0.8538812278813832,0.7907847052732786,0.8830958663148637,0.7522949934428759,0.6043504953593913,0.4714527435339618,0.7176049342128773,0.5796481217308607
47,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,4800,0.8549203637345285,0.7927224317727979,0.8850592885375494,0.7565364503229776,0.6064932407217922,0.4756103456611071,0.7197634218120518,0.5840482056457598
48,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,4900,0.855382612779522,0.7923674284446417,0.8846503814656681,0.7550644567219152,0.6085878345030155,0.4757070340826686,0.7211005641175589,0.5836818222261767
49,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,5000,0.8570836892650979,0.792056800532505,0.8880638736503721,0.7564033119244757,0.6118982557089718,0.47256466038191924,0.7245579399753401,0.5817067364913117
50,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,5100,0.8579786034162054,0.7917905480363878,0.889239403234802,0.7545251482708156,0.6141854558149054,0.4735798888083152,0.7265516529366951,0.5819175478198882
51,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,5200,0.8591064910859895,0.7924709710820206,0.8900008672274737,0.7539882451721243,0.6177005212408663,0.47754411409233744,0.7292611173486064,0.5847392411057833
52,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,5300,0.8598904654662983,0.792811182604837,0.8915405812925701,0.756058282208589,0.6192413718385478,0.476625574087503,0.7308517439795412,0.5846701260192735
53,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,5400,0.8608556414722447,0.7932105613490127,0.8936999688117268,0.7570738440303658,0.6209026013891731,0.47730239303843364,0.7327343111837198,0.5854830101405444
54,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,5500,0.86190217331011,0.7933288957917314,0.8930394870296195,0.7557723081612436,0.6253566226480962,0.4794778825235678,0.73560272440209,0.5867250354945575
55,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,5600,0.8624124962557828,0.793180977738333,0.895067789894396,0.7562896688843007,0.625440887915157,0.47812424462170655,0.7363483042560127,0.5858657662460754
56,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,5700,0.8634146521853285,0.7937726499519266,0.8961667926083671,0.7562124781518352,0.6281614522516883,0.48107324147933284,0.7386039533188485,0.588051057794587
57,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,5800,0.8645018619391532,0.7930922269062939,0.8977214322425904,0.7560602584690679,0.6307857134258646,0.47797921198936427,0.7409449876627003,0.5856880516557076
58,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,5900,0.8651231246556245,0.794112861474743,0.898586923050604,0.7564821834723275,0.6323024882329573,0.48237853517041335,0.7422858152269918,0.5891070110701107
59,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,6000,0.8652673463576624,0.7941424450854226,0.8986545398594704,0.7573384030418251,0.6327719661494384,0.4814599951655789,0.7426323076488374,0.5886803605733708
60,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,6100,0.8662251263788889,0.7944382811922195,0.900191152375751,0.7584526347852574,0.6349267494071337,0.4815083393763597,0.744640449517517,0.589052843244522
61,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,6200,0.8669906107973981,0.7938909843946453,0.9014026894823854,0.7587184793439105,0.6366602063295254,0.4785593425187334,0.7462467547127215,0.5869204316376141
62,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,6300,0.8674121819264321,0.7935211892611493,0.9018810111498851,0.7569922054103623,0.6377797305919033,0.4788977519941987,0.7471794437863146,0.586657191081105
63,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,6400,0.8686177274357751,0.7937578581465868,0.9030639062685454,0.7568576653459311,0.6411383033790372,0.48020304568527916,0.7498873620184725,0.5875950190777603
64,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,6500,0.8684291298254178,0.7948820353524148,0.9023790964855797,0.7596739792809263,0.6410540381119765,0.48213681411650955,0.7495935531548017,0.5898914618637802
65,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,6600,0.8697197291590396,0.7952074550698913,0.903837387942532,0.7596416641360462,0.6444728003755823,0.4837321730722746,0.7524314144366989,0.5910742239418733
66,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,6700,0.8703668778220304,0.7955772502033873,0.9042839822174323,0.760057580119706,0.6464349773085674,0.4849891225525743,0.7539222912498683,0.5921378821862826
67,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,6800,0.8710805903475003,0.7957695436728053,0.9057791694022187,0.7604908347220118,0.6477109942097724,0.4853758762388204,0.7553097407246234,0.5925576179655915
68,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,6900,0.8717499269646509,0.7945418238295984,0.9064473861040183,0.7574448738349625,0.6495527921898135,0.483248730964467,0.7567935259013037,0.5900478129980521
69,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,7000,0.8715946112855331,0.7949412025737741,0.9057946686362721,0.7597867479055598,0.6495648300851079,0.48228184674885183,0.7565741045827696,0.5900340085760757
70,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,7100,0.8724636394901208,0.7950891206271725,0.9075276393712148,0.7576946288473144,0.6511899459498501,0.48556925308194343,0.7582808842288229,0.591850564214372
71,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,7200,0.8729702644434336,0.7954293321499889,0.9091642031711905,0.7596000908884345,0.6515871964945649,0.48484408992023204,0.7591212212584235,0.5918909348441926
72,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,7300,0.873654393030024,0.7934176466237705,0.9091852273297746,0.7533368524244024,0.6540429271346198,0.48295866569978246,0.7607925505846111,0.588581865315501
73,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,7400,0.8741240380597374,0.7953997485393092,0.9092274821392802,0.7592886870979947,0.6557041566852452,0.48508581097413583,0.7619300736471789,0.591976401179941
74,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,7500,0.874504931272812,0.7953553731232897,0.9108071501429694,0.759469696969697,0.6556921187899508,0.484650713077109,0.7624760278287162,0.5917072450936993
75,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,7600,0.875140985958723,0.795606833814067,0.9099828713019473,0.7599364069952306,0.6587136305088418,0.4852791878172589,0.7642244630038267,0.5923172242874845
76,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,7700,0.8749080124400463,0.7946601582723172,0.9104077074374104,0.756852676885902,0.6574978030841088,0.4845540246555475,0.763555027435082,0.5908394246639943
77,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,7800,0.8757511546981144,0.7962280896383404,0.9111292091879134,0.7608154020385051,0.6599053821429861,0.4871646120377085,0.7654307197162745,0.5939876215738285
78,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,7900,0.8757437587133945,0.7959174617262037,0.9110442701409199,0.7596501809408926,0.6599535337241637,0.48711626782692774,0.7654331329800973,0.5935962767680935
79,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,8000,0.8764463772617845,0.7957843354781451,0.9127052722558341,0.7595261450237683,0.661024906405364,0.48663282571912014,0.766739972772018,0.5931993635452885
80,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,8100,0.8768531564213788,0.7960801715849419,0.9121670862594409,0.7609896345615496,0.6629630075477604,0.48624607203287407,0.7678515409872636,0.5933573240516783
81,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,9,8200,0.8769049283144181,0.7950151616004734,0.913131514306579,0.7587749222955045,0.6623009233065691,0.4838772057046169,0.7677483725570914,0.5909198252450113
