Location,Date,A/T(¡ÆC),MI/T(¡ÆC),MA/T(¡ÆC),D/P(mm),MA/W,A/W(m/s),A/PT(¡ÆC),A/RH(%),A/SP(hPa),A/LAP(hPa),MA/SLP(hPa),MI/SLP(hPa),A/SLP(hPa),TST(hr),A/GT(¡ÆC),T/RYN
90,2014-01-01,6.6,4.1,8.9,,9.8,5.4,-9.3,31.3,3.1,1007.9,1013.8,1007.9,1010.1,7,1.8,X
90,2014-01-02,4,-0.3,7,,4.2,1.8,-11.5,31.9,2.6,1016.3,1020.5,1013.8,1018.6,8.9,0.1,X
90,2014-01-03,6.6,2.4,9.4,,9.6,3,-6.5,40,3.9,1012.9,1017.7,1012.6,1015.1,4.4,1.6,O
90,2014-01-04,1.2,0,3.8,7.4,6,1.8,-1,87.4,5.8,1018.2,1021.9,1016.9,1020.5,0,0.2,O
90,2014-01-05,0.4,-2,2.7,0,5.1,1.7,-1.1,90,5.6,1020.6,1025.4,1021.1,1022.9,3.7,0.1,X
90,2014-01-06,0.5,-3.6,5.5,,2.8,1.5,-5.6,64.8,4,1025.3,1029.5,1025.4,1027.6,8.5,-0.5,X
90,2014-01-07,4.5,-1.5,7.1,,4,1.6,-3.6,55.8,4.8,1020.4,1026.5,1021,1022.7,0.8,0.2,X
90,2014-01-08,4.1,0.1,7.4,,6.8,3.1,-3.1,59.9,5,1015.8,1021.2,1015.6,1018,2.5,1.4,X
90,2014-01-09,-3.7,-6.3,0.3,,5.3,2.6,-19.4,29.4,1.4,1022.5,1027.6,1018.5,1024.9,8.6,-2.1,X
90,2014-01-10,-2,-6.6,1.8,,6.8,3,-18.6,27.6,1.5,1026,1030,1026.4,1028.3,9,-3,X
90,2014-01-11,1.5,-2.4,5.2,,7.9,3.2,-14.1,31.6,2.1,1025.8,1030.6,1025.8,1028.1,8.8,-1.3,X
90,2014-01-12,1.2,-2.6,5.3,,7.9,3.3,-10.8,41.4,2.8,1022.8,1028,1021.9,1025.1,6.3,-0.7,X
90,2014-01-13,-3.2,-7.6,0.8,,4.4,1.6,-17.4,32.9,1.6,1027.6,1031.4,1028,1029.9,9.1,-3.3,X
90,2014-01-14,-3.3,-7.2,0.9,,4.2,1.9,-13.5,46.3,2.2,1029.2,1032.8,1030.4,1031.6,9.2,-3.3,X
90,2014-01-15,-0.7,-8.8,5.4,,4.7,1.6,-13.7,37.8,2.1,1027.7,1032,1028.1,1030,9.1,-2.5,X
90,2014-01-16,1.4,-3.1,5.9,,6,1.7,-7.6,52,3.5,1025.2,1029.7,1025.8,1027.5,7.6,-1.2,X
90,2014-01-17,0.7,-3,4.1,,3.9,1.6,-6.4,59.6,3.8,1023.1,1027.7,1023.2,1025.4,7.3,-1.1,X
90,2014-01-18,-0.4,-3.8,2.9,,9.1,3.2,-11.4,43.5,2.6,1022.6,1028.9,1022,1024.9,7.2,-1.9,X
90,2014-01-19,-0.6,-5.3,3.5,,3.4,1.7,-12.8,39.9,2.3,1024.9,1031.3,1022.7,1027.2,7.5,-1.8,O
90,2014-01-20,1.3,-0.5,4.2,0.1,4.5,1.8,-4.4,67.5,4.5,1015.4,1022.7,1014.8,1017.7,2.1,0.3,O
90,2014-01-21,-2.9,-4.8,0.6,14.1,4.3,2.1,-5.6,82.8,4.1,1020.3,1025.5,1017.8,1022.6,0.3,-4.1,X
90,2014-01-22,-1.1,-7.5,4.9,,3.2,1.4,-10.3,52,2.8,1022.7,1026.5,1023.3,1025,8.9,-1.4,X
90,2014-01-23,1.6,-4.8,7.4,,3,1.2,-6.9,53.8,3.6,1021,1026.4,1019.5,1023.3,9.1,-0.6,X
