L1cati1n,A/T(°C),MI/T(°C),MA/T(°C),D/P(mm),MA/W,A/W(m/s),A/PT(°C),A/RH(P),A/SP(hPa),A/LAP(hPa),MA/SLP(hPa),MI/SLP(hPa),A/SLP(hPa),TST(hr),A/GT(°C),T/RYN
90.00,6.60,4.10,8.90,0.00,9.80,5.40,9.30,31.30,3.10,1007.90,1013.80,1007.90,1010.10,7.00,1.80,0.00
90.00,4.00,0.30,7.00,0.00,4.20,1.80,11.50,31.90,2.60,1016.30,1020.50,1013.80,1018.60,8.90,0.10,0.00
90.00,6.60,2.40,9.40,0.00,9.60,3.00,6.50,40.00,3.90,1012.90,1017.70,1012.60,1015.10,4.40,1.60,1.00
90.00,1.20,0.00,3.80,7.40,6.00,1.80,1.00,87.40,5.80,1018.20,1021.90,1016.90,1020.50,0.00,0.20,1.00
90.00,0.40,2.00,2.70,0.00,5.10,1.70,1.10,90.00,5.60,1020.60,1025.40,1021.10,1022.90,3.70,0.10,0.00
90.00,0.50,3.60,5.50,0.00,2.80,1.50,5.60,64.80,4.00,1025.30,1029.50,1025.40,1027.60,8.50,0.50,0.00
90.00,4.50,1.50,7.10,0.00,4.00,1.60,3.60,55.80,4.80,1020.40,1026.50,1021.00,1022.70,0.80,0.20,0.00
90.00,4.10,0.10,7.40,0.00,6.80,3.10,3.10,59.90,5.00,1015.80,1021.20,1015.60,1018.00,2.50,1.40,0.00
90.00,3.70,6.30,0.30,0.00,5.30,2.60,19.40,29.40,1.40,1022.50,1027.60,1018.50,1024.90,8.60,2.10,0.00
90.00,2.00,6.60,1.80,0.00,6.80,3.00,18.60,27.60,1.50,1026.00,1030.00,1026.40,1028.30,9.00,3.00,0.00
90.00,1.50,2.40,5.20,0.00,7.90,3.20,14.10,31.60,2.10,1025.80,1030.60,1025.80,1028.10,8.80,1.30,0.00
90.00,1.20,2.60,5.30,0.00,7.90,3.30,10.80,41.40,2.80,1022.80,1028.00,1021.90,1025.10,6.30,0.70,0.00
90.00,3.20,7.60,0.80,0.00,4.40,1.60,17.40,32.90,1.60,1027.60,1031.40,1028.00,1029.90,9.10,3.30,0.00
90.00,3.30,7.20,0.90,0.00,4.20,1.90,13.50,46.30,2.20,1029.20,1032.80,1030.40,1031.60,9.20,3.30,0.00
90.00,0.70,8.80,5.40,0.00,4.70,1.60,13.70,37.80,2.10,1027.70,1032.00,1028.10,1030.00,9.10,2.50,0.00
90.00,1.40,3.10,5.90,0.00,6.00,1.70,7.60,52.00,3.50,1025.20,1029.70,1025.80,1027.50,7.60,1.20,0.00
90.00,0.70,3.00,4.10,0.00,3.90,1.60,6.40,59.60,3.80,1023.10,1027.70,1023.20,1025.40,7.30,1.10,0.00
90.00,0.40,3.80,2.90,0.00,9.10,3.20,11.40,43.50,2.60,1022.60,1028.90,1022.00,1024.90,7.20,1.90,0.00
90.00,0.60,5.30,3.50,0.00,3.40,1.70,12.80,39.90,2.30,1024.90,1031.30,1022.70,1027.20,7.50,1.80,1.00
90.00,1.30,0.50,4.20,0.10,4.50,1.80,4.40,67.50,4.50,1015.40,1022.70,1014.80,1017.70,2.10,0.30,1.00
90.00,2.90,4.80,0.60,14.10,4.30,2.10,5.60,82.80,4.10,1020.30,1025.50,1017.80,1022.60,0.30,4.10,0.00
90.00,1.10,7.50,4.90,0.00,3.20,1.40,10.30,52.00,2.80,1022.70,1026.50,1023.30,1025.00,8.90,1.40,0.00
90.00,1.60,4.80,7.40,0.00,3.00,1.20,6.90,53.80,3.60,1021.00,1026.40,1019.50,1023.30,9.10,0.60,0.00
90.00,6.90,0.60,10.60,0.00,5.70,1.90,1.60,54.80,5.50,1014.90,1019.70,1015.50,1017.20,5.90,1.90,1.00
90.00,4.90,1.90,10.40,7.50,4.50,2.00,2.60,86.80,7.40,1014.00,1019.10,1013.90,1016.20,0.00,2.60,1.00
90.00,0.30,3.00,3.40,0.20,7.30,2.60,4.80,69.10,4.30,1023.90,1029.00,1019.10,1026.20,6.60,1.70,0.00
90.00,4.40,3.60,9.50,0.00,6.10,2.60,11.70,33.40,2.60,1017.30,1025.50,1015.60,1019.60,9.20,0.70,0.00
90.00,4.30,1.60,7.80,0.00,6.20,3.00,3.70,56.60,4.70,1018.30,1024.10,1016.40,1020.50,9.40,2.20,0.00
90.00,7.40,2.10,12.60,0.00,6.20,2.50,12.10,25.30,2.50,1015.60,1023.90,1011.10,1017.90,8.10,1.50,0.00
90.00,8.60,3.40,12.00,0.00,9.10,4.10,3.70,44.10,5.30,1008.70,1017.80,1006.40,1010.90,6.70,4.70,0.00
90.00,3.60,1.30,6.90,0.00,6.80,2.20,12.00,32.00,2.60,1020.10,1024.50,1017.70,1022.30,9.10,0.90,1.00
90.00,3.40,0.70,6.20,16.50,3.90,1.60,2.00,73.30,5.50,1016.30,1021.20,1014.10,1018.60,0.00,0.40,1.00
90.00,7.40,1.70,14.30,2.00,4.70,2.00,2.40,74.80,7.40,1004.60,1014.10,1002.90,1006.90,7.10,4.50,0.00
90.00,1.60,4.50,8.80,0.00,8.30,4.10,9.40,45.00,3.20,1011.10,1018.70,1007.80,1013.40,3.50,0.80,0.00
90.00,4.20,7.40,0.10,0.00,5.50,2.50,19.60,29.30,1.30,1019.30,1025.40,1018.40,1021.60,9.70,1.90,0.00
90.00,4.10,7.90,0.30,0.00,3.20,1.80,14.30,46.00,2.10,1026.10,1030.70,1025.40,1028.40,9.40,1.70,1.00
90.00,1.10,5.30,1.30,0.10,5.10,2.40,8.90,57.00,3.30,1025.70,1029.30,1026.50,1028.00,4.10,0.20,1.00
90.00,0.00,2.40,1.10,12.40,5.80,3.30,2.10,86.40,5.30,1023.30,1028.10,1023.50,1025.60,0.00,0.10,1.00
90.00,0.50,1.60,0.50,19.80,5.50,2.50,2.00,90.00,5.30,1018.50,1023.50,1019.20,1020.80,0.00,0.20,1.00
90.00,1.50,2.60,0.40,44.60,6.60,2.70,1.90,97.40,5.40,1020.60,1026.00,1019.40,1022.90,0.00,0.20,1.00
90.00,2.50,3.60,1.70,29.70,3.80,1.70,3.20,94.80,4.80,1026.60,1030.30,1025.90,1028.90,0.00,0.20,1.00
90.00,1.80,3.80,0.20,8.80,3.80,1.20,2.20,97.00,5.20,1026.50,1030.30,1027.50,1028.80,0.00,0.20,0.00
90.00,1.40,5.60,2.80,0.00,4.90,2.10,4.10,81.60,4.50,1028.00,1031.70,1028.80,1030.40,5.60,0.20,1.00
90.00,0.50,2.00,1.10,22.60,2.70,1.20,1.40,93.40,5.50,1031.10,1034.50,1031.40,1033.40,0.00,0.20,1.00
90.00,0.00,1.80,2.90,5.40,4.60,1.60,0.60,95.80,5.90,1028.20,1033.30,1027.70,1030.50,1.20,0.20,0.00
90.00,0.50,4.00,5.30,0.00,3.30,1.50,2.50,80.60,5.10,1025.00,1028.00,1026.60,1027.30,10.00,0.20,0.00
90.00,3.10,3.40,8.10,0.00,2.80,1.50,2.40,67.90,5.20,1024.70,1028.70,1025.70,1027.00,5.80,0.20,1.00
90.00,1.50,0.30,4.30,3.70,5.90,2.60,1.30,82.00,5.60,1028.70,1032.30,1028.20,1031.00,0.00,0.30,1.00
90.00,0.90,2.00,0.50,6.20,4.10,1.40,2.00,91.60,5.30,1028.20,1032.30,1028.70,1030.50,0.00,0.20,1.00
90.00,0.60,1.80,3.50,0.20,2.70,1.20,1.80,83.40,5.40,1025.10,1029.50,1025.50,1027.40,1.70,0.20,1.00
90.00,0.90,1.50,3.70,1.20,4.20,1.80,1.20,85.60,5.60,1025.00,1028.80,1026.00,1027.30,3.30,0.20,0.00
90.00,0.40,2.90,4.50,0.00,3.10,1.60,1.70,86.00,5.40,1027.70,1031.40,1028.50,1030.00,6.60,0.20,1.00
90.00,0.40,2.60,3.30,0.00,3.40,1.60,2.00,84.10,5.30,1030.10,1033.50,1031.30,1032.40,4.70,0.20,0.00
90.00,1.50,1.10,5.00,0.00,2.70,1.20,0.80,84.80,5.80,1029.10,1033.20,1029.60,1031.40,5.70,0.30,0.00
90.00,3.70,1.80,7.20,0.00,2.50,1.20,0.30,79.80,6.30,1025.30,1029.60,1025.90,1027.60,7.30,0.20,0.00
90.00,6.90,1.90,11.30,0.00,3.30,1.50,0.20,61.30,6.10,1024.80,1028.40,1025.90,1027.00,9.20,1.20,0.00
90.00,3.30,0.50,9.10,0.00,2.70,1.00,1.00,86.30,6.70,1023.40,1027.80,1022.90,1025.60,8.80,3.50,0.00
90.00,7.40,0.80,16.70,0.00,4.80,2.00,1.00,69.90,6.60,1016.20,1022.90,1014.50,1018.50,6.80,5.00,1.00
90.00,5.00,3.40,6.50,0.00,4.90,2.50,0.50,73.30,6.30,1022.20,1027.30,1020.40,1024.40,0.00,3.90,1.00
90.00,3.70,1.70,5.70,3.00,7.80,3.10,1.60,86.60,6.90,1018.00,1021.90,1018.20,1020.30,1.30,4.60,1.00
90.00,1.70,0.60,3.60,8.50,3.70,1.70,0.50,92.40,6.40,1020.40,1025.70,1020.30,1022.70,0.00,2.30,0.00
90.00,4.10,1.20,8.00,0.00,6.80,2.70,0.70,72.00,5.90,1023.90,1028.30,1024.40,1026.20,10.50,3.30,0.00
90.00,8.10,2.80,13.40,0.00,3.90,1.90,5.50,39.40,4.30,1018.10,1025.20,1016.90,1020.30,6.00,4.30,1.00
90.00,0.30,2.80,7.30,15.10,5.90,2.70,3.60,76.10,4.80,1019.90,1024.90,1017.40,1022.20,3.70,0.30,0.00
90.00,1.50,3.90,6.10,0.00,6.10,2.40,12.40,35.20,2.40,1022.60,1026.50,1022.20,1024.90,10.60,0.20,0.00
90.00,1.00,4.20,4.70,0.00,6.60,2.80,13.50,33.30,2.20,1024.60,1029.50,1024.30,1026.90,10.80,1.40,0.00
90.00,2.80,1.30,5.80,0.00,4.50,1.90,8.20,44.60,3.30,1020.30,1026.70,1019.30,1022.60,10.80,3.00,0.00
90.00,2.20,1.10,4.40,0.00,8.90,3.50,9.90,40.80,2.90,1016.70,1022.10,1016.80,1019.00,8.80,1.50,0.00
90.00,1.80,2.10,5.90,0.00,3.80,2.00,8.50,47.50,3.30,1022.40,1025.90,1022.10,1024.70,11.00,3.10,0.00
90.00,8.60,1.60,13.40,0.00,6.00,2.70,5.90,36.00,4.00,1019.20,1025.40,1017.90,1021.50,2.90,3.90,1.00
90.00,7.30,5.10,10.90,0.10,7.10,2.70,1.60,58.40,5.90,1015.30,1020.90,1015.30,1017.50,0.80,4.70,1.00
90.00,3.20,0.20,5.10,0.50,6.00,4.00,2.30,67.00,5.20,1015.70,1018.90,1016.20,1018.00,0.90,3.30,0.00
90.00,4.00,1.00,8.30,0.00,5.30,2.10,3.60,58.50,4.70,1015.50,1018.90,1015.80,1017.80,9.30,4.00,0.00
90.00,10.00,2.90,15.20,0.00,6.60,2.90,4.40,37.30,4.50,1013.00,1018.80,1011.40,1015.20,10.40,7.70,0.00
90.00,9.20,4.30,12.70,0.00,6.00,2.70,1.00,58.40,6.60,1018.30,1023.40,1013.70,1020.50,9.50,10.60,1.00
90.00,9.50,4.10,15.90,0.00,4.30,1.90,5.70,77.80,9.30,1013.00,1021.50,1008.00,1015.20,4.70,11.40,1.00
90.00,11.70,6.40,17.70,0.00,7.10,4.00,4.40,61.80,8.50,1012.70,1022.20,1005.90,1014.90,5.50,12.00,0.00
90.00,7.60,3.90,10.70,0.00,7.00,2.80,2.90,73.00,7.50,1016.30,1021.90,1015.80,1018.50,0.80,8.40,1.00
90.00,4.80,2.50,6.70,8.00,7.00,3.60,1.40,79.00,6.80,1012.30,1017.70,1012.70,1014.50,1.10,5.70,0.00
90.00,5.30,1.80,8.70,0.00,5.50,2.50,3.70,53.60,4.70,1016.50,1019.90,1016.40,1018.70,11.20,6.10,0.00
90.00,10.30,2.40,14.90,0.00,4.60,2.10,2.00,43.90,5.50,1018.50,1023.00,1018.90,1020.70,11.10,8.40,0.00
90.00,15.60,9.60,20.60,0.00,5.80,2.70,0.70,33.10,5.80,1021.30,1025.60,1021.70,1023.40,10.60,12.50,0.00
90.00,15.50,12.00,19.00,0.00,8.50,4.00,2.90,29.50,5.20,1015.90,1022.70,1014.00,1018.00,8.40,12.80,0.00
