,瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 捞浇痢柯档(∑C),弥家 惑措嚼档(%),乞闭 惑措嚼档(%),乞闭 刘扁拘(hPa),乞闭 泅瘤扁拘(hPa),弥绊 秦搁扁拘(hPa),弥历 秦搁扁拘(hPa),乞闭 秦搁扁拘(hPa),啊炼矫埃(hr),钦拌 老炼 矫埃(hr),钦拌 老荤(MJ/m2),老 弥缴脚利汲(cm),老 弥缴利汲(cm),乞闭 傈款樊(1/10),乞闭 吝窍摸款樊(1/10),乞闭 瘤搁柯档(∑C),弥历 檬惑柯档(∑C)
0,156,堡林,2010-10-01,18.2,10.4,25.6,0,11.1,41.0,65.0,13.3,1012.1,1023.0,1019.0,1020.8,11.8,7.4,17.54,0,0,3.9,1.4,21.3,7.4
1,156,堡林,2010-10-01,18.2,10.4,25.6,0,11.1,41.0,65.0,13.3,1012.1,1023.0,1019.0,1020.8,11.8,7.4,17.54,0,0,3.9,1.4,21.3,7.4
2,156,堡林,2010-10-02,19.7,15.4,25.1,18.0,16.1,55.0,81.1,18.5,1006.8,1020.9,1010.9,1015.5,11.8,0.9,7.74,0,0,8.8,4.5,20.8,12.4
3,156,堡林,2010-10-02,19.7,15.4,25.1,18.0,16.1,55.0,81.1,18.5,1006.8,1020.9,1010.9,1015.5,11.8,0.9,7.74,0,0,8.8,4.5,20.8,12.4
4,156,堡林,2010-10-03,19.7,17.4,23.9,4.5,14.4,41.0,73.8,16.7,1003.4,1013.2,1010.8,1012.0,11.8,5.8,13.6,0,0,7.1,5.5,20.6,15.6
5,156,堡林,2010-10-03,19.7,17.4,23.9,4.5,14.4,41.0,73.8,16.7,1003.4,1013.2,1010.8,1012.0,11.8,5.8,13.6,0,0,7.1,5.5,20.6,15.6
6,156,堡林,2010-10-04,15.7,14.0,18.3,3.5,12.6,64.0,82.4,14.7,1003.7,1014.0,1011.1,1012.5,11.7,0.4,6.16,0,0,9.5,6.5,17.8,13.8
7,156,堡林,2010-10-04,15.7,14.0,18.3,3.5,12.6,64.0,82.4,14.7,1003.7,1014.0,1011.1,1012.5,11.7,0.4,6.16,0,0,9.5,6.5,17.8,13.8
8,156,堡林,2010-10-05,15.8,12.6,19.9,0,11.6,49.0,77.9,13.8,1006.7,1018.5,1013.0,1015.5,11.7,3.1,8.51,0,0,4.8,4.8,18.2,9.8
9,156,堡林,2010-10-05,15.8,12.6,19.9,0,11.6,49.0,77.9,13.8,1006.7,1018.5,1013.0,1015.5,11.7,3.1,8.51,0,0,4.8,4.8,18.2,9.8
10,156,堡林,2010-10-06,16.7,10.1,23.3,0,10.9,41.0,71.9,13.1,1010.5,1021.0,1017.4,1019.3,11.7,9.7,17.02,0,0,1.4,1.4,18.2,8.2
11,156,堡林,2010-10-06,16.7,10.1,23.3,0,10.9,41.0,71.9,13.1,1010.5,1021.0,1017.4,1019.3,11.7,9.7,17.02,0,0,1.4,1.4,18.2,8.2
12,156,堡林,2010-10-07,18.9,13.0,25.2,0,12.0,41.0,66.9,14.0,1011.4,1021.6,1018.3,1020.1,11.6,7.5,14.93,0,0,5.5,3.6,19.3,10.2
13,156,堡林,2010-10-07,18.9,13.0,25.2,0,12.0,41.0,66.9,14.0,1011.4,1021.6,1018.3,1020.1,11.6,7.5,14.93,0,0,5.5,3.6,19.3,10.2
14,156,堡林,2010-10-08,17.7,16.1,22.6,3.5,14.6,55.0,83.4,16.7,1008.3,1020.3,1014.3,1017.0,11.6,0.3,7.08,0,0,9.3,5.6,18.8,15.0
15,156,堡林,2010-10-08,17.7,16.1,22.6,3.5,14.6,55.0,83.4,16.7,1008.3,1020.3,1014.3,1017.0,11.6,0.3,7.08,0,0,9.3,5.6,18.8,15.0
16,156,堡林,2010-10-09,18.7,15.6,24.7,0,14.8,48.0,80.6,16.9,1003.6,1014.3,1009.6,1012.2,11.6,7.3,16.62,0,0,3.5,3.5,21.4,13.7
17,156,堡林,2010-10-09,18.7,15.6,24.7,0,14.8,48.0,80.6,16.9,1003.6,1014.3,1009.6,1012.2,11.6,7.3,16.62,0,0,3.5,3.5,21.4,13.7
18,156,堡林,2010-10-10,18.2,14.0,25.8,0,13.5,32.0,76.6,15.5,1006.2,1016.6,1013.2,1015.0,11.5,7.7,16.89,0,0,3.1,2.5,20.4,12.5
19,156,堡林,2010-10-10,18.2,14.0,25.8,0,13.5,32.0,76.6,15.5,1006.2,1016.6,1013.2,1015.0,11.5,7.7,16.89,0,0,3.1,2.5,20.4,12.5
20,156,堡林,2010-10-11,18.2,13.7,23.8,1.5,14.2,55.0,78.6,16.2,1007.6,1017.6,1015.2,1016.4,11.5,1.2,9.31,0,0,7.8,4.5,19.8,11.3
21,156,堡林,2010-10-11,18.2,13.7,23.8,1.5,14.2,55.0,78.6,16.2,1007.6,1017.6,1015.2,1016.4,11.5,1.2,9.31,0,0,7.8,4.5,19.8,11.3
22,156,堡林,2010-10-12,17.5,12.5,23.4,0,13.7,55.0,80.1,15.7,1008.4,1018.3,1015.6,1017.1,11.4,6.2,13.91,0,0,5.8,4.9,19.4,10.6
23,156,堡林,2010-10-12,17.5,12.5,23.4,0,13.7,55.0,80.1,15.7,1008.4,1018.3,1015.6,1017.1,11.4,6.2,13.91,0,0,5.8,4.9,19.4,10.6
24,156,堡林,2010-10-13,16.0,12.7,21.0,0,10.9,48.0,73.1,13.1,1006.6,1017.5,1013.3,1015.3,11.4,2.9,11.63,0,0,5.3,3.8,18.8,9.6
25,156,堡林,2010-10-13,16.0,12.7,21.0,0,10.9,48.0,73.1,13.1,1006.6,1017.5,1013.3,1015.3,11.4,2.9,11.63,0,0,5.3,3.8,18.8,9.6
26,156,堡林,2010-10-14,15.5,9.8,21.1,0,9.0,38.0,67.1,11.5,1006.4,1016.6,1013.1,1015.2,11.4,5.8,12.78,0,0,5.1,2.8,17.4,8.2
27,156,堡林,2010-10-14,15.5,9.8,21.1,0,9.0,38.0,67.1,11.5,1006.4,1016.6,1013.1,1015.2,11.4,5.8,12.78,0,0,5.1,2.8,17.4,8.2
28,156,堡林,2010-10-15,15.3,11.4,19.4,0,4.3,24.0,51.0,8.5,1009.3,1020.0,1015.8,1018.1,11.3,10.2,18.07,0,0,0.5,0.3,17.7,7.7
29,156,堡林,2010-10-15,15.3,11.4,19.4,0,4.3,24.0,51.0,8.5,1009.3,1020.0,1015.8,1018.1,11.3,10.2,18.07,0,0,0.5,0.3,17.7,7.7
30,156,堡林,2010-10-16,14.9,8.5,22.4,0,6.9,28.0,62.3,10.0,1012.2,1022.9,1019.1,1021.1,11.3,9.8,16.53,0,0,1.9,1.5,17.8,5.8
31,156,堡林,2010-10-16,14.9,8.5,22.4,0,6.9,28.0,62.3,10.0,1012.2,1022.9,1019.1,1021.1,11.3,9.8,16.53,0,0,1.9,1.5,17.8,5.8
32,156,堡林,2010-10-17,16.1,11.2,22.7,0,10.4,45.0,70.6,12.7,1014.7,1025.3,1021.4,1023.6,11.3,7.4,12.91,0,0,1.4,1.4,18.2,8.8
33,156,堡林,2010-10-17,16.1,11.2,22.7,0,10.4,45.0,70.6,12.7,1014.7,1025.3,1021.4,1023.6,11.3,7.4,12.91,0,0,1.4,1.4,18.2,8.8
34,156,堡林,2010-10-18,16.7,11.4,24.3,0,10.0,30.0,68.0,12.3,1015.9,1026.5,1022.7,1024.8,11.2,9.5,15.57,0,0,1.0,0.0,19.2,8.2
35,156,堡林,2010-10-18,16.7,11.4,24.3,0,10.0,30.0,68.0,12.3,1015.9,1026.5,1022.7,1024.8,11.2,9.5,15.57,0,0,1.0,0.0,19.2,8.2
