,accuracy_score(train),f1_score(train),accuracy_score(test),f1_score(test)
0,0.986661342,0.981646661,0.760284003,0.62258966
1,0.986365502,0.981230815,0.759943791,0.622940917
2,0.986184301,0.980981277,0.758597737,0.620094045
3,0.986328522,0.981178567,0.758849198,0.620834012
4,0.98642467,0.98131721,0.757458768,0.618771942
5,0.985969817,0.980684445,0.757370017,0.616958177
6,0.986317428,0.981160129,0.760653798,0.623040186
7,0.985895857,0.980579064,0.760372753,0.623395946
8,0.986672436,0.98165978,0.758198358,0.618959931
9,0.986391388,0.981269786,0.761911101,0.624976701
10,0.98627675,0.981112293,0.759263368,0.620708942
11,0.986254562,0.981074049,0.761482139,0.623520347
12,0.986187999,0.98098569,0.758080024,0.619429901
13,0.985740541,0.980360199,0.760269211,0.622821104
14,0.986247166,0.981067914,0.760224835,0.621968284
15,0.986509724,0.981432469,0.760165668,0.62315809
16,0.98638769,0.98127013,0.757296058,0.617582622
17,0.986753791,0.981769508,0.759071075,0.621508575
18,0.986095549,0.980855397,0.760357962,0.623276363
19,0.986420972,0.981309553,0.760284003,0.624252261
20,0.986413576,0.981300134,0.76066859,0.623458227
21,0.986365502,0.98123005,0.759145034,0.620416346
22,0.986139925,0.98091844,0.757769396,0.61679225
23,0.98657259,0.981526423,0.761600473,0.624688541
24,0.986269354,0.981100959,0.760727757,0.623060074
25,0.986631758,0.981604458,0.761349013,0.62508714
26,0.986620664,0.981586849,0.75944087,0.622010459
27,0.986173207,0.980966683,0.759633163,0.621406272
28,0.986287844,0.981119586,0.76157089,0.625252831
29,0.986372898,0.981247487,0.760269211,0.622663035
30,0.985751635,0.980374579,0.76018046,0.623312655
31,0.986801865,0.981838536,0.760446713,0.622362131
32,0.986513422,0.981442753,0.761156719,0.624129984
33,0.986587382,0.981544896,0.759869832,0.622640632
34,0.986099247,0.980861366,0.758139191,0.618955513
35,0.986176905,0.98096625,0.759721914,0.620254348
36,0.98629524,0.981134189,0.758523778,0.619614605
37,0.986339616,0.981187615,0.761023593,0.624401358
38,0.986380294,0.981255948,0.759514829,0.621272829
39,0.98659108,0.981551768,0.759573996,0.621277786
40,0.986676134,0.981670185,0.762916944,0.62812065
41,0.986487536,0.981400415,0.758760447,0.619632903
42,0.986302636,0.981145138,0.758642112,0.619464073
43,0.986162113,0.980945689,0.760298794,0.62281498
44,0.986280448,0.98110998,0.759869832,0.621990407
45,0.98644316,0.981343322,0.759411286,0.621911249
46,0.986243468,0.981064655,0.759795873,0.622006005
47,0.986143623,0.980924017,0.758834406,0.61995338
48,0.986598476,0.98155237,0.759426078,0.621168359
49,0.987001557,0.982114963,0.759677539,0.621907798
50,0.986232374,0.981046587,0.758449819,0.619684196
51,0.98631373,0.981160697,0.759189409,0.621148655
52,0.98631373,0.981160505,0.760047334,0.622129047
53,0.986040079,0.980773247,0.759662747,0.621505777
54,0.986147321,0.980925515,0.761526514,0.624055592
55,0.986302636,0.981144562,0.758301901,0.620106017
56,0.986217582,0.981021392,0.758464611,0.619024288
57,0.986065965,0.980811147,0.759795873,0.62209397
58,0.986631758,0.9816009,0.762221729,0.626466829
59,0.986265656,0.981089806,0.760357962,0.622539083
60,0.986372898,0.981239086,0.759011907,0.619559126
61,0.986454254,0.981354698,0.760165668,0.621415896
62,0.986247166,0.981067336,0.759899416,0.622371115
63,0.986302636,0.981147441,0.758849198,0.620410254
64,0.986043777,0.980776088,0.760372753,0.62200756
65,0.986528214,0.981457068,0.758494194,0.619319639
66,0.9863692,0.981230268,0.759633163,0.621776371
67,0.986339616,0.981194319,0.760579839,0.62326599
68,0.985873669,0.9805497,0.758834406,0.619403333
69,0.986261958,0.981082499,0.757991273,0.618455726
70,0.986302636,0.981142834,0.760047334,0.621706077
71,0.98638769,0.981263838,0.759366911,0.621639222
72,0.986698321,0.981700151,0.759292952,0.621813196
73,0.986335918,0.981193728,0.759618371,0.620454492
74,0.98629524,0.981132652,0.760964426,0.624273425
75,0.986602174,0.981562435,0.758923157,0.621188174
76,0.986269354,0.98109172,0.76066859,0.622843823
77,0.986391388,0.981265972,0.758301901,0.620123681
78,0.986291542,0.981129002,0.761127136,0.624048423
79,0.98642467,0.981309981,0.75879003,0.620582145
80,0.985929139,0.980622622,0.758420235,0.618375549
81,0.986650248,0.981632051,0.759218993,0.621371418
82,0.986413576,0.981305273,0.759766289,0.623257324
83,0.986616966,0.9815886,0.761482139,0.624991279
84,0.986224978,0.98103486,0.760047334,0.622744186
85,0.986417274,0.981308364,0.758804822,0.6193211
86,0.985999401,0.98071948,0.762724651,0.6263191
87,0.986398784,0.981275773,0.759840249,0.621291286
88,0.986232374,0.98105006,0.760801716,0.622869003
89,0.98640618,0.981280236,0.759988167,0.623369389
90,0.986605872,0.981569118,0.757591894,0.618084363
91,0.986298938,0.981141487,0.761556098,0.625638644
92,0.986376596,0.981246755,0.761275054,0.623773224
93,0.986543006,0.981478748,0.760357962,0.621957765
94,0.986561496,0.981507302,0.759766289,0.620900539
95,0.986169509,0.980961883,0.760165668,0.622121749
96,0.986184301,0.980974109,0.757754604,0.61890024
97,0.98638769,0.98126422,0.76034317,0.621660751
98,0.986328522,0.981185846,0.75944087,0.621535454
99,0.986524516,0.981455093,0.759899416,0.620977911
100,0.986568892,0.981515222,0.758568153,0.619072069
101,0.985988307,0.980704104,0.758316693,0.619518897
102,0.986779677,0.981813927,0.758923157,0.620376409
103,0.986579986,0.9815272,0.761363804,0.62513651
104,0.986328522,0.981178184,0.760091709,0.623418236
105,0.986158415,0.980938947,0.758849198,0.619701882
106,0.986358106,0.981222736,0.760091709,0.621237243
107,0.986280448,0.981117863,0.762014644,0.625706642
108,0.986539308,0.981475638,0.760550255,0.622657343
109,0.986302636,0.981143026,0.759056283,0.620364975
110,0.98649863,0.981414645,0.759840249,0.621485522
111,0.986694623,0.981690127,0.759411286,0.620835956
112,0.986690925,0.98167991,0.76050588,0.622719329
113,0.985995703,0.980712128,0.758405443,0.618146962
114,0.986557798,0.981498918,0.762354855,0.62501167
115,0.986102945,0.980862657,0.757547519,0.618165723
116,0.986269354,0.981097496,0.759218993,0.621353803
117,0.986439462,0.981337188,0.757710229,0.618590788
118,0.986187999,0.980978911,0.758582945,0.620026541
119,0.986080757,0.980835421,0.76157089,0.625339934
120,0.986550402,0.981485158,0.758863989,0.62
121,0.986184301,0.980971977,0.757798979,0.618943449
