,accuracy_score(train),precision_score(train),recall_score(train),f1_score(train),accuracy_score(test),precision_score(test),recall_score(test),f1_score(test)
AVG,0.980640548,0.99460473,0.958937273,0.976434144,0.651200608,0.609520419,0.444340659,0.513701248
0,0.979459871,0.995265152,0.955454545,0.974953618,0.635258359,0.582089552,0.428571429,0.493670886
1,0.979459871,0.996204934,0.954545455,0.974930362,0.642857143,0.59223301,0.446886447,0.509394572
2,0.979079498,0.995260664,0.954545455,0.974477958,0.67781155,0.658031088,0.465201465,0.545064378
3,0.974515025,0.991436727,0.947272727,0.968851697,0.667173252,0.639175258,0.454212454,0.531049251
4,0.982502853,0.996233522,0.961818182,0.978723404,0.626139818,0.574585635,0.380952381,0.45814978
5,0.980220616,0.991557223,0.960909091,0.975992613,0.639817629,0.595744681,0.41025641,0.485900217
6,0.978699125,0.994318182,0.954545455,0.974025974,0.639817629,0.583333333,0.461538462,0.515337423
7,0.983643971,0.999055713,0.961818182,0.980083372,0.627659574,0.576086957,0.388278388,0.463894967
8,0.980220616,0.993408663,0.959090909,0.975948196,0.671732523,0.650793651,0.450549451,0.532467532
9,0.974134652,0.987712665,0.95,0.968489342,0.64893617,0.607142857,0.435897436,0.507462687
10,0.982883226,0.993451824,0.965454545,0.979253112,0.661094225,0.620192308,0.472527473,0.536382536
11,0.97793838,0.990583804,0.956363636,0.973172988,0.659574468,0.626943005,0.443223443,0.519313305
12,0.984785089,0.994402985,0.969090909,0.981583794,0.653495441,0.610837438,0.454212454,0.521008403
13,0.977558007,0.995242626,0.950909091,0.972570897,0.658054711,0.627659574,0.432234432,0.511930586
14,0.978318752,0.994312796,0.953636364,0.973549884,0.659574468,0.623115578,0.454212454,0.525423729
15,0.978318752,0.994312796,0.953636364,0.973549884,0.658054711,0.62371134,0.443223443,0.518201285
16,0.977558007,0.989651929,0.956363636,0.97272307,0.647416413,0.603015075,0.43956044,0.508474576
17,0.98212248,0.997167139,0.96,0.978230662,0.667173252,0.635,0.465201465,0.536997886
18,0.979079498,0.995260664,0.954545455,0.974477958,0.64893617,0.610526316,0.424908425,0.501079914
19,0.981361734,0.999050332,0.956363636,0.977241059,0.650455927,0.606965174,0.446886447,0.514767932
20,0.985545835,0.994413408,0.970909091,0.982520699,0.645896657,0.604166667,0.424908425,0.498924731
21,0.977558007,0.994301994,0.951818182,0.972596377,0.661094225,0.62755102,0.450549451,0.524520256
22,0.984024344,0.998116761,0.963636364,0.980573543,0.670212766,0.647368421,0.450549451,0.531317495
23,0.982883226,0.996237065,0.962727273,0.979195562,0.6443769,0.590697674,0.465201465,0.520491803
24,0.980600989,0.996215705,0.957272727,0.97635605,0.6443769,0.602094241,0.421245421,0.495689655
25,0.982502853,0.998109641,0.96,0.978683967,0.664133739,0.626213592,0.472527473,0.538622129
26,0.984024344,0.998116761,0.963636364,0.980573543,0.653495441,0.625698324,0.41025641,0.495575221
27,0.980220616,0.995274102,0.957272727,0.975903614,0.627659574,0.570707071,0.413919414,0.479830149
28,0.979459871,0.992467043,0.958181818,0.975023127,0.635258359,0.579710145,0.43956044,0.5
29,0.983643971,0.994387278,0.966363636,0.980175196,0.647416413,0.598086124,0.457875458,0.518672199
30,0.986686953,0.99719888,0.970909091,0.983878397,0.629179331,0.572139303,0.421245421,0.485232068
31,0.979459871,0.994328922,0.956363636,0.97497683,0.653495441,0.608695652,0.461538462,0.525
32,0.97793838,0.991509434,0.955454545,0.973148148,0.639817629,0.588235294,0.43956044,0.503144654
33,0.976797261,0.993352327,0.950909091,0.971667441,0.662613982,0.625615764,0.465201465,0.533613445
34,0.983263598,0.997175141,0.962727273,0.979648474,0.639817629,0.581818182,0.468864469,0.519269777
35,0.980981362,0.995283019,0.959090909,0.976851852,0.635258359,0.584615385,0.417582418,0.487179487
36,0.981742107,0.995291902,0.960909091,0.977798335,0.655015198,0.60952381,0.468864469,0.530020704
37,0.978318752,0.991517436,0.956363636,0.973623323,0.650455927,0.606965174,0.446886447,0.514767932
38,0.979079498,0.997145576,0.952727273,0.974430497,0.642857143,0.597938144,0.424908425,0.496788009
39,0.983263598,0.995309568,0.964545455,0.979686057,0.655015198,0.617346939,0.443223443,0.515991471
40,0.981742107,0.996226415,0.96,0.977777778,0.639817629,0.587378641,0.443223443,0.505219207
41,0.981361734,0.994355597,0.960909091,0.977346278,0.651975684,0.603773585,0.468864469,0.527835052
42,0.97793838,0.9943074,0.952727273,0.973073352,0.647416413,0.603015075,0.43956044,0.508474576
43,0.980600989,0.992488263,0.960909091,0.976443418,0.67781155,0.647342995,0.490842491,0.558333333
44,0.980981362,0.99249531,0.961818182,0.976915974,0.6443769,0.6,0.428571429,0.5
45,0.98212248,0.995296331,0.961818182,0.97827092,0.668693009,0.638190955,0.465201465,0.538135593
46,0.984785089,0.998120301,0.965454545,0.981515712,0.661094225,0.631578947,0.43956044,0.518358531
47,0.983263598,0.993457944,0.966363636,0.979723502,0.676291793,0.653061224,0.468864469,0.545842217
48,0.980981362,0.996219282,0.958181818,0.976830399,0.647416413,0.609625668,0.417582418,0.495652174
49,0.97793838,0.9943074,0.952727273,0.973073352,0.668693009,0.63681592,0.468864469,0.540084388
50,0.979840243,0.996208531,0.955454545,0.975406032,0.645896657,0.6,0.43956044,0.507399577
51,0.980981362,0.996219282,0.958181818,0.976830399,0.671732523,0.63507109,0.490842491,0.553719008
52,0.983643971,0.999055713,0.961818182,0.980083372,0.662613982,0.625615764,0.465201465,0.533613445
53,0.979079498,0.994323557,0.955454545,0.974501623,0.639817629,0.585714286,0.450549451,0.50931677
54,0.980981362,0.994350282,0.96,0.976873265,0.655015198,0.60952381,0.468864469,0.530020704
