,accuracy_score(train),precision_score(train),recall_score(train),f1_score(train),accuracy_score(test),precision_score(test),recall_score(test),f1_score(test),,total,train,test
,0.986,0.997,0.965,0.981,0.749,0.736,0.505,0.599,," 338,022 "," 270,418 "," 67,604 "
0,0.986165811,0.996829673,0.965529007,0.980929709,0.751024333,0.739986068,0.507848606,0.602324812,,,,
1,0.985759031,0.997248983,0.964013688,0.980349735,0.747962429,0.735440154,0.501593625,0.596413937,,,,
2,0.986110341,0.996767409,0.96543869,0.980852951,0.747370757,0.732830189,0.502908367,0.596479622,,,,
3,0.985777521,0.996918991,0.964384991,0.980382155,0.750550995,0.737787273,0.509043825,0.602432929,,,,
4,0.985736843,0.996774327,0.964415097,0.980327752,0.748583685,0.734611153,0.505418327,0.598834053,,,,
5,0.986650248,0.996844251,0.966833586,0.981609594,0.750388285,0.738530248,0.507290837,0.601450131,,,,
6,0.986036381,0.997075811,0.964936929,0.980743143,0.750979957,0.743934833,0.502111554,0.599557575,,,,
7,0.986154717,0.996829574,0.965498901,0.980914124,0.750122032,0.736417584,0.509243028,0.602115081,,,,
8,0.985988307,0.997116661,0.96476633,0.980674776,0.747666593,0.734938351,0.501075697,0.595882785,,,,
9,0.985622206,0.99705177,0.963833054,0.980161038,0.74879077,0.735890729,0.504422311,0.59855809,,,,
10,0.985862575,0.996754863,0.964776365,0.980504944,0.749633903,0.737423028,0.505737052,0.599990547,,,,
11,0.985888461,0.996528605,0.965067387,0.980545699,0.749352859,0.736664925,0.505657371,0.599683432,,,,
12,0.986653946,0.997101449,0.966592741,0.981610097,0.747858886,0.735469536,0.501115538,0.596085494,,,,
13,0.985929139,0.996858476,0.964856647,0.980596535,0.747992012,0.733940695,0.503904382,0.597548012,,,,
14,0.986217582,0.997304079,0.96520788,0.980993518,0.74936765,0.738034088,0.50374502,0.598787649,,,,
15,0.985962421,0.997188651,0.964625837,0.980637,0.749426818,0.736466906,0.50625498,0.600037777,,,,
16,0.985988307,0.996951725,0.964926893,0.98067793,0.749796613,0.736765982,0.507370518,0.600920137,,,,
17,0.985973515,0.997291913,0.96455559,0.980650625,0.749559944,0.739686638,0.502191235,0.598229752,,,,
18,0.986321126,0.997201783,0.965589218,0.981140926,0.749781821,0.734633028,0.510438247,0.602350729,,,,
19,0.986025287,0.996921131,0.965057351,0.980730497,0.748509726,0.73374899,0.506374502,0.599217387,,,,
20,0.985803407,0.99688829,0.964485344,0.98041916,0.745906368,0.730827506,0.499641434,0.593516327,,,,
