,accuracy_score(train),precision_score(train),recall_score(train),f1_score(train),accuracy_score(test),precision_score(test),recall_score(test),f1_score(test)
average,0.99536625,0.999144888,0.986616123,0.992834603,0.89201,0.948756067,0.724211679,0.821028291
0,0.9975,1,0.992322457,0.996146435,0.905,0.962616822,0.751824818,0.844262295
1,0.995625,0.998062016,0.988483685,0.993249759,0.8825,0.932692308,0.708029197,0.804979253
2,0.994375,0.998054475,0.984644914,0.991304348,0.8925,0.935185185,0.737226277,0.824489796
3,0.995,1,0.984644914,0.992263056,0.865,0.919191919,0.664233577,0.771186441
4,0.995,1,0.984644914,0.992263056,0.88,0.940594059,0.693430657,0.798319328
5,0.994375,0.998054475,0.984644914,0.991304348,0.9025,0.953703704,0.751824818,0.840816327
6,0.995625,1,0.986564299,0.993236715,0.8925,0.979591837,0.700729927,0.817021277
7,0.99375,1,0.980806142,0.990310078,0.88,0.923809524,0.708029197,0.801652893
8,0.994375,1,0.982725528,0.991287512,0.8875,0.96,0.700729927,0.810126582
9,0.995,0.998058252,0.986564299,0.992277992,0.895,0.952380952,0.729927007,0.826446281
10,0.995625,0.996138996,0.990403071,0.993262753,0.8875,0.910714286,0.744525547,0.819277108
11,0.995625,1,0.986564299,0.993236715,0.8775,0.958333333,0.671532847,0.789699571
12,0.996875,1,0.990403071,0.995178399,0.9025,0.945454545,0.759124088,0.842105263
13,0.996875,1,0.990403071,0.995178399,0.9125,0.963636364,0.773722628,0.858299595
14,0.99125,1,0.973128599,0.986381323,0.885,0.95959596,0.693430657,0.805084746
15,0.991875,0.998039216,0.97696737,0.987390883,0.8975,0.952830189,0.737226277,0.83127572
16,0.995,1,0.984644914,0.992263056,0.88,0.923809524,0.708029197,0.801652893
17,0.99375,1,0.980806142,0.990310078,0.875,0.939393939,0.678832117,0.788135593
18,0.996875,1,0.990403071,0.995178399,0.8925,0.943396226,0.729927007,0.823045267
19,0.99625,1,0.988483685,0.994208494,0.9,0.961904762,0.737226277,0.834710744
20,0.993125,1,0.978886756,0.989330747,0.8725,0.921568627,0.686131387,0.786610879
21,0.99625,1,0.988483685,0.994208494,0.89,0.942857143,0.722627737,0.818181818
22,0.994375,1,0.982725528,0.991287512,0.8825,0.924528302,0.715328467,0.806584362
23,0.996875,1,0.990403071,0.995178399,0.8975,0.944444444,0.744525547,0.832653061
24,0.995625,0.998062016,0.988483685,0.993249759,0.8925,0.97,0.708029197,0.818565401
25,0.99625,0.994241843,0.994241843,0.994241843,0.89,0.904347826,0.759124088,0.825396825
26,0.998125,1,0.994241843,0.997112608,0.9075,0.931034483,0.788321168,0.853754941
27,0.994375,1,0.982725528,0.991287512,0.8975,0.944444444,0.744525547,0.832653061
28,0.998125,1,0.994241843,0.997112608,0.9025,0.962264151,0.744525547,0.839506173
29,0.99375,1,0.980806142,0.990310078,0.895,0.961165049,0.722627737,0.825
30,0.993125,0.998046875,0.980806142,0.989351404,0.8775,0.9,0.722627737,0.801619433
31,0.995,0.998058252,0.986564299,0.992277992,0.9,0.936936937,0.759124088,0.838709677
32,0.9975,1,0.992322457,0.996146435,0.905,0.980582524,0.737226277,0.841666667
33,0.9975,1,0.992322457,0.996146435,0.91,1,0.737226277,0.848739496
34,0.99875,1,0.996161228,0.998076923,0.915,0.947826087,0.795620438,0.865079365
35,0.99375,1,0.980806142,0.990310078,0.9,0.98019802,0.722627737,0.831932773
36,0.996875,1,0.990403071,0.995178399,0.9025,0.962264151,0.744525547,0.839506173
37,0.996875,1,0.990403071,0.995178399,0.8925,0.927272727,0.744525547,0.825910931
38,0.995625,1,0.986564299,0.993236715,0.8925,0.960784314,0.715328467,0.820083682
39,0.99625,1,0.988483685,0.994208494,0.885,0.90990991,0.737226277,0.814516129
