,cols,n_estimators,min_samples_leaf,max_features,ac(train),ac(test),pr(train),pr(test),re(train),re(test),f1(train),f1(test)
0,all,10,1,auto,0.969816986,0.783477553,0.983834796,0.719474014,0.916494584,0.493674512,0.948971554,0.585560589
1,all,11,1,auto,0.972882622,0.786938836,0.986051364,0.725636251,0.924525112,0.502267628,0.954297574,0.593635389
2,all,12,1,auto,0.974032698,0.785149027,0.987532969,0.723544974,0.92690408,0.496156968,0.956258487,0.588655093
3,all,13,1,auto,0.976273681,0.789808446,0.988852627,0.734656914,0.933038679,0.503461116,0.960135202,0.597473231
4,all,14,1,auto,0.97767522,0.791997633,0.989867279,0.739478261,0.936685626,0.507471237,0.962542424,0.601891173
5,all,15,1,auto,0.978729148,0.791834923,0.99071515,0.740484187,0.939342342,0.505227479,0.964345045,0.600641335
6,all,16,1,auto,0.979956881,0.792456179,0.991053186,0.7410092,0.943061744,0.507566716,0.966462056,0.602464938
7,all,17,1,auto,0.980459808,0.792855558,0.991991065,0.743494424,0.943810455,0.506039051,0.967301171,0.602204295
8,all,18,1,auto,0.98141389,0.794231196,0.992515672,0.748025945,0.946443019,0.506516446,0.968931967,0.604024935
9,all,19,1,auto,0.982582456,0.793373271,0.993741228,0.747587284,0.949099736,0.502935981,0.970907608,0.601329947
10,all,20,1,auto,0.983100175,0.793210561,0.993602766,0.748094865,0.950935285,0.501456056,0.971800916,0.600434435
11,all,21,1,auto,0.983891545,0.795695585,0.994092529,0.753319605,0.953060658,0.506468707,0.973144266,0.605709392
12,all,22,1,auto,0.983991391,0.794645366,0.994717466,0.751638643,0.95278291,0.503652074,0.97329871,0.603150101
13,all,23,1,auto,0.984586768,0.793757858,0.994491744,0.75245098,0.954956587,0.498305247,0.974323275,0.599557713
14,all,24,1,auto,0.985500172,0.793890984,0.994955579,0.749555192,0.957504619,0.502792763,0.975870918,0.601862964
15,all,25,1,auto,0.985219125,0.797278308,0.99547352,0.758053022,0.956079653,0.507805414,0.975378986,0.608193488
16,all,26,1,auto,0.985585226,0.796109755,0.99572816,0.756315752,0.957033656,0.504511386,0.975997537,0.605269187
17,all,27,1,auto,0.986594778,0.798239775,0.995693109,0.759389421,0.960378703,0.510622046,0.977717127,0.610641699
18,all,28,1,auto,0.986879523,0.796006213,0.995870923,0.757818129,0.96113949,0.50207667,0.978197013,0.603991385
19,all,29,1,auto,0.986957181,0.796790178,0.996120247,0.758368576,0.961151566,0.50508426,0.978323531,0.606338472
20,all,30,1,auto,0.987460108,0.79713039,0.996374909,0.758433391,0.96255238,0.506611925,0.979171657,0.607458714
21,all,31,1,auto,0.98762282,0.798269359,0.996054636,0.764148898,0.963397698,0.504702344,0.979454031,0.607900638
22,all,32,1,auto,0.987863189,0.797529769,0.996379842,0.759231483,0.963868662,0.507471237,0.979854649,0.60833238
23,all,33,1,auto,0.988125747,0.796997264,0.996667998,0.759465479,0.964448309,0.504654604,0.98029348,0.606378707
24,all,34,1,auto,0.988373512,0.798151024,0.996819457,0.763859776,0.965112488,0.504511386,0.980709763,0.607670634
25,all,35,1,auto,0.988624976,0.799778123,0.99659936,0.766027712,0.966151022,0.509380818,0.981139017,0.611882097
26,all,36,1,auto,0.98861758,0.798003106,0.996921159,0.762738739,0.965812895,0.505227479,0.981120502,0.607834128
27,all,37,1,auto,0.988477056,0.798698321,0.996894913,0.762521465,0.965378159,0.508760204,0.980883436,0.61031412
28,all,38,1,auto,0.989053943,0.79877228,0.997148443,0.76453635,0.967020493,0.506564186,0.981853405,0.609372308
29,all,39,1,auto,0.989468118,0.798831447,0.997325571,0.764109569,0.968203939,0.507375758,0.98254902,0.609823273
30,all,40,1,auto,0.989616037,0.799866874,0.99715383,0.768634553,0.968856042,0.506564186,0.982801284,0.61066989
31,all,41,1,auto,0.989689997,0.800813549,0.997451231,0.769197553,0.968807738,0.51024013,0.982920853,0.613512428
32,all,42,1,auto,0.989786145,0.799304785,0.997588115,0.764802986,0.968988878,0.508712465,0.983080542,0.611009174
33,all,43,1,auto,0.990155944,0.798062274,0.997702349,0.763186377,0.970087792,0.504941042,0.983701309,0.607768775
34,all,44,1,auto,0.990226206,0.800355003,0.997789424,0.769888422,0.970232704,0.507280279,0.983818136,0.611585945
35,all,45,1,auto,0.989982139,0.8009023,0.997651532,0.770113284,0.969568525,0.509524037,0.983409579,0.613285066
36,all,46,1,auto,0.990326052,0.799644997,0.99774073,0.767027417,0.97060706,0.507518976,0.983986876,0.610854139
37,all,47,1,auto,0.990795697,0.80032542,0.997855354,0.768067953,0.972032026,0.509380818,0.98477443,0.612531933
38,all,48,1,auto,0.990614495,0.799452703,0.9978417,0.767271938,0.971452378,0.506325488,0.984470225,0.610066149
39,all,49,1,auto,0.990699549,0.800399379,0.997792932,0.770565599,0.97177843,0.506659665,0.984613879,0.611347926
40,all,50,1,auto,0.990784603,0.800473338,0.998065212,0.768543857,0.971790506,0.509476297,0.984752628,0.612752275
41,all,51,1,auto,0.991080442,0.800014792,0.997820406,0.767948625,0.972998104,0.508091851,0.985252938,0.611561225
42,all,52,1,auto,0.990999087,0.800665631,0.998054258,0.771416116,0.972502989,0.506850623,0.985112968,0.611754538
43,all,53,1,auto,0.99104716,0.801094594,0.997770843,0.772727273,0.972937724,0.507232539,0.985197821,0.61244488
44,all,54,1,auto,0.99108414,0.800281044,0.998079496,0.771101886,0.972756584,0.505466177,0.985255356,0.610646519
45,all,55,1,auto,0.991058254,0.800118334,0.997992938,0.768841313,0.972756584,0.507471237,0.98521318,0.611393898
46,all,56,1,auto,0.991313416,0.799911249,0.997945341,0.768257411,0.973638131,0.507232539,0.985641897,0.61103603
47,all,57,1,auto,0.991705403,0.801671474,0.99813276,0.773966131,0.974737045,0.508378288,0.986296181,0.613669106
48,all,58,1,auto,0.991505712,0.800872717,0.997971301,0.772003779,0.97424193,0.507089321,0.985963862,0.612113179
49,all,59,1,auto,0.991505712,0.800650839,0.99814384,0.771084337,0.974072866,0.5071848,0.98596146,0.611893449
50,all,60,1,auto,0.9915279,0.799763331,0.998033055,0.770991808,0.974254006,0.503222418,0.986000183,0.608971952
51,all,61,1,auto,0.991953169,0.801420013,0.998035849,0.774005537,0.975642744,0.5071848,0.986712262,0.612811121
52,all,62,1,auto,0.991982753,0.800547297,0.998245289,0.772233166,0.97553406,0.505322958,0.986759012,0.610896289
53,all,63,1,auto,0.992167652,0.799940833,0.998135641,0.770126656,0.976246543,0.50508426,0.987069755,0.610061986
54,all,64,1,auto,0.992056712,0.800192293,0.998356544,0.770922864,0.975666896,0.505275218,0.986881321,0.610451032
55,all,65,1,auto,0.992019732,0.800502921,0.998196262,0.771351666,0.975703124,0.50618227,0.986821535,0.611247226
56,all,66,1,auto,0.992193538,0.8018046,0.998160403,0.774392904,0.976306923,0.508473767,0.987112725,0.613872799
57,all,67,1,auto,0.992219424,0.801701058,0.998480562,0.775762452,0.97607748,0.506373228,0.98715193,0.612767187
58,all,68,1,auto,0.992130672,0.802100436,0.998270772,0.776648633,0.975992948,0.50713706,0.987006167,0.613602888
59,all,69,1,auto,0.992452398,0.800695215,0.998666403,0.772757136,0.976657127,0.505370697,0.98753915,0.611095076
60,all,70,1,auto,0.992304478,0.801242512,0.99829638,0.774930444,0.976536367,0.505275218,0.987296491,0.611703511
61,all,71,1,auto,0.992629901,0.799985208,0.998494942,0.769980365,0.977405838,0.505466177,0.987837846,0.610294541
62,all,72,1,auto,0.992574431,0.800857925,0.998494663,0.773738113,0.977224698,0.504941042,0.987745188,0.611087038
63,all,73,1,auto,0.992585525,0.801538348,0.998543929,0.772155559,0.977212622,0.509953693,0.987763123,0.614243409
64,all,74,1,auto,0.992681673,0.801005843,0.998519798,0.773144773,0.977550749,0.506325488,0.987924017,0.611914034
65,all,75,1,auto,0.992555941,0.801597515,0.998457666,0.774682806,0.977200546,0.5071848,0.987714748,0.613023283
66,all,76,1,auto,0.992652089,0.801124177,0.998347515,0.77379562,0.977623205,0.50608679,0.98787668,0.611943314
67,all,77,1,auto,0.992925741,0.800769174,0.998607036,0.77327876,0.978263232,0.50508426,0.988330456,0.611048543
68,all,78,1,auto,0.992759331,0.801375638,0.998630864,0.773120232,0.977695661,0.508044111,0.988052379,0.613159714
69,all,79,1,auto,0.992689069,0.800813549,0.998273992,0.772690822,0.977816421,0.505991311,0.987939312,0.61152781
70,all,80,1,auto,0.992885063,0.801331262,0.998680625,0.774426756,0.978057941,0.506277749,0.988261708,0.612280246
71,all,81,1,auto,0.9931846,0.801479181,0.998718802,0.775274323,0.978999867,0.505943572,0.98876103,0.612300315
72,all,82,1,auto,0.993040378,0.801449597,0.998632146,0.774438284,0.978613436,0.506802883,0.988521451,0.612667725
73,all,83,1,auto,0.992866573,0.800059167,0.998582172,0.772560528,0.978094169,0.502697284,0.988231993,0.609075397
74,all,84,1,auto,0.993121734,0.801168553,0.99854653,0.773127593,0.978963639,0.507089321,0.988658122,0.612466125
75,all,85,1,auto,0.993173506,0.801493972,0.998694179,0.774567739,0.978987791,0.506850623,0.988742804,0.612743118
76,all,86,1,auto,0.993373198,0.801715849,0.998695047,0.775537045,0.979639894,0.506707404,0.989075702,0.612941414
77,all,87,1,auto,0.993177204,0.800650839,0.998497685,0.774915354,0.979193083,0.502601805,0.988751166,0.609735615
