,accuracy_score(train),f1_score(train),accuracy_score(test),f1_score(test)
0,0.98622128,0.980990572,0.757665853,0.620386032
1,0.986727905,0.981700446,0.757591894,0.620190971
2,0.985943931,0.980598531,0.757296058,0.618525063
3,0.986380294,0.981212155,0.753864359,0.611885992
4,0.986114039,0.980840761,0.756600843,0.617049501
5,0.986450556,0.981309746,0.757162932,0.618289195
6,0.986261958,0.981051429,0.755402707,0.61679644
7,0.986128831,0.980863124,0.756719178,0.615948628
8,0.986354408,0.981179999,0.75837586,0.621287645
9,0.986165811,0.980916284,0.75682272,0.618366684
10,0.986191697,0.980951895,0.756482509,0.617699649
11,0.985736843,0.980310278,0.755417499,0.616828494
12,0.986132529,0.980870275,0.755876045,0.616489288
13,0.986213884,0.980982697,0.756482509,0.616595636
14,0.98644316,0.981306982,0.757858147,0.620079837
15,0.986402482,0.981240466,0.755950004,0.617857556
16,0.986187999,0.980948446,0.756378966,0.617883161
17,0.985980911,0.980657867,0.755550625,0.617471413
18,0.986232374,0.981005199,0.754884994,0.615691459
19,0.98640618,0.981248533,0.757370017,0.618703364
20,0.986151019,0.980895099,0.757739812,0.619717656
21,0.986413576,0.981263132,0.756778345,0.618836783
22,0.986180603,0.980937855,0.756837512,0.617439669
23,0.986250864,0.981029257,0.754988536,0.614701093
24,0.986236072,0.981014079,0.756216256,0.617317203
25,0.986409878,0.981254686,0.758494194,0.621086588
26,0.985918045,0.980566471,0.75666001,0.617854073
27,0.986236072,0.981013691,0.756305007,0.616316169
28,0.986432066,0.981282427,0.75731085,0.617686124
29,0.986143623,0.980885286,0.754500407,0.614157852
30,0.986247166,0.981028124,0.758287109,0.620796881
31,0.98666504,0.981613673,0.757532727,0.619886838
32,0.986494932,0.981374189,0.757192515,0.619803127
33,0.986191697,0.980951118,0.753169144,0.612497968
34,0.986587382,0.98150424,0.75911545,0.621657412
35,0.986269354,0.981063948,0.757414392,0.619895239
36,0.985943931,0.980601897,0.75640855,0.617539133
37,0.985744239,0.980317875,0.756704386,0.618216424
38,0.986250864,0.981030032,0.755979587,0.616838927
39,0.986372898,0.981198308,0.756674802,0.618081352
40,0.986232374,0.981007331,0.757680645,0.619058692
41,0.986158415,0.980903548,0.755476666,0.614778738
42,0.986154717,0.980899713,0.756615635,0.618077155
43,0.986114039,0.980849556,0.755964796,0.616182766
44,0.986121435,0.98085917,0.757162932,0.61814714
45,0.985936535,0.980594266,0.756955846,0.619379647
46,0.986420972,0.981273332,0.755269581,0.61456028
47,0.986169509,0.980920898,0.755225205,0.61410382
48,0.986339616,0.981152292,0.758420235,0.620344972
49,0.985796011,0.980389554,0.756630427,0.617576645
50,0.98623977,0.981023149,0.757044597,0.617320193
51,0.985784917,0.980371932,0.756896679,0.617212065
52,0.986236072,0.981012142,0.756793137,0.6189218
53,0.986147321,0.980893994,0.757414392,0.619807122
54,0.986450556,0.981316227,0.755787294,0.617043978
55,0.986631758,0.981569381,0.756290215,0.618381433
56,0.986284146,0.981081453,0.756955846,0.618460467
57,0.985866273,0.980494427,0.757355225,0.618156425
58,0.986106643,0.980833295,0.755313956,0.614603234
59,0.986343314,0.981162873,0.756231048,0.617793033
60,0.986347012,0.981167877,0.756941055,0.618941608
61,0.98646165,0.981325335,0.754737076,0.614117154
62,0.986102945,0.980832594,0.75772502,0.620249936
63,0.986084455,0.98080151,0.757503143,0.619293112
64,0.986195395,0.980956122,0.75763627,0.617038682
65,0.986084455,0.980798375,0.757976481,0.619594532
66,0.986195395,0.980954567,0.756023963,0.617024241
67,0.98648014,0.981348081,0.757991273,0.62019175
68,0.986165811,0.980911999,0.75714814,0.618150526
69,0.986191697,0.980952867,0.755639376,0.615938997
70,0.986195395,0.980953401,0.757858147,0.619302326
71,0.986679832,0.981632195,0.75666001,0.617907328
72,0.98660957,0.981529751,0.755358331,0.616700271
73,0.986321126,0.981132268,0.757517935,0.619854834
74,0.986017891,0.980709479,0.756319799,0.617328688
75,0.986217582,0.980985179,0.75362769,0.612037641
76,0.985807105,0.980406971,0.757015014,0.617434034
77,0.986568892,0.981476948,0.756142297,0.615495848
