지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr),다음날
90,2014-01-01,6.6,4.1,636,8.9,1310,,,,,,,18,270,2111,9.8,270,2224,5.4,4691,270,-9.3,22,204,31.3,3.1,1007.9,1013.8,2357,1007.9,4,1010.1,9.6,7,,,,,,,,,3.3,3.3,1.8,2,,,,,,,,,,,,,,,X
90,2014-01-02,4,-0.3,2133,7,1202,,,,,,,8.5,70,1625,4.2,90,1401,1.8,1577,270,-11.5,18,1116,31.9,2.6,1016.3,1020.5,954,1013.8,1,1018.6,9.6,8.9,,,,,,,,,0.1,0.1,0.1,-3.1,,,,,,,,,,,,,,,X
90,2014-01-03,6.6,2.4,2315,9.4,1305,,,,,,,14.2,270,543,9.6,270,551,3,2629,270,-6.5,24,505,40,3.9,1012.9,1017.7,1,1012.6,1358,1015.1,9.6,4.4,,,,,,,,,5.8,2.6,1.6,-0.4,,,,,,,,,,,,,,,O
90,2014-01-04,1.2,0,2348,3.8,12,18.75,,,,,7.4,8.4,340,321,6,340,14,1.8,1533,90,-1,44,246,87.4,5.8,1018.2,1021.9,2300,1016.9,25,1020.5,9.6,0,,,,6,1850,6,1850,6,10,8.8,0.2,0.2,,,,,,,,,,,,,{눈}0355-{진눈깨비}0540-{진눈깨비}{강도0}0600-{눈}0850-{눈}{강도0}0900-{눈}{강도1}1200-{눈}{강도0}1500-{눈}{강도0}1800-{눈}{강도0}2100-2240.,,O
90,2014-01-05,0.4,-2,2106,2.7,1126,0.83,,,,,0,7.3,320,1450,5.1,340,1516,1.7,1497,270,-1.1,78,1405,90,5.6,1020.6,1025.4,2358,1021.1,1338,1022.9,9.6,3.7,,,,,,6,1,,5.8,3.6,0.1,-5.5,,,,,,,,,,,,,{눈}0240-{눈}{강도0}0300-0330.,,X
90,2014-01-06,0.5,-3.6,220,5.5,1221,,,,,,,3.9,140,1550,2.8,140,1553,1.5,1310,270,-5.6,43,1238,64.8,4,1025.3,1029.5,947,1025.4,1,1027.6,9.6,8.5,,,,,,2.8,1,,0.4,0,-0.5,-6.7,,,,,,,,,,,,,,,X
90,2014-01-07,4.5,-1.5,5,7.1,1336,,,,,,,7.8,200,1328,4,270,2058,1.6,1353,140,-3.6,44,1331,55.8,4.8,1020.4,1026.5,1,1021,1444,1022.7,9.6,0.8,,,,,,2.2,1,,7.9,4.4,0.2,-3.7,,,,,,,,,,,,,,,X
90,2014-01-08,4.1,0.1,2358,7.4,433,,,,,,,9.5,340,1456,6.8,340,1505,3.1,2694,340,-3.1,35,2320,59.9,5,1015.8,1021.2,3,1015.6,1524,1018,9.7,2.5,,,,,,,,,9.1,5.3,1.4,-0.9,,,,,,,,,,,,,,,X
90,2014-01-09,-3.7,-6.3,2340,0.3,14,,,,,,,8.1,250,1456,5.3,270,1516,2.6,2205,270,-19.4,17,1523,29.4,1.4,1022.5,1027.6,2354,1018.5,1,1024.9,9.7,8.6,,,,,,,,,1,1,-2.1,-8.2,,,,,,,,,,,,,,,X
90,2014-01-10,-2,-6.6,227,1.8,1508,,,,,,,12.5,270,351,6.8,270,359,3,2621,270,-18.6,18,1232,27.6,1.5,1026,1030,901,1026.4,1629,1028.3,9.7,9,,,,,,,,,0,0,-3,-8.1,,,,,,,,,,,,,,,X
