,Tester,Cols,rows,count,n_estimators,max_features,min_samples_leaf,max_leaf_nodes,max_depth,accuracy(train),precision(train),recall(train),f1(train),accuracy(test),precision(test),recall(test),f1(test)
0,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,5,,,0.856,0.926,0.577,0.711,0.772,0.74,0.393,0.514
1,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,10,,,0.807,0.851,0.451,0.59,0.763,0.725,0.36,0.481
2,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,15,,,0.791,0.812,0.414,0.549,0.761,0.722,0.353,0.474
3,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,20,,,0.78,0.789,0.387,0.519,0.757,0.717,0.34,0.461
4,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,25,,,0.773,0.776,0.366,0.498,0.755,0.715,0.33,0.451
5,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,30,,,0.769,0.763,0.359,0.488,0.753,0.709,0.325,0.446
6,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,35,,,0.764,0.75,0.348,0.476,0.75,0.7,0.32,0.439
7,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,40,,,0.762,0.746,0.339,0.466,0.749,0.7,0.313,0.433
8,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,45,,,0.759,0.742,0.332,0.459,0.748,0.7,0.307,0.427
9,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,50,,,0.758,0.736,0.329,0.455,0.748,0.698,0.309,0.428
10,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,55,,,0.756,0.735,0.323,0.449,0.747,0.701,0.303,0.423
11,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,60,,,0.755,0.734,0.316,0.442,0.747,0.701,0.298,0.418
12,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,65,,,0.753,0.726,0.317,0.442,0.746,0.695,0.301,0.42
13,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,70,,,0.753,0.722,0.319,0.442,0.746,0.694,0.304,0.423
14,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,1,75,,,0.751,0.72,0.309,0.432,0.744,0.69,0.293,0.411
