,cols,n_estimators,min_samples_leaf,max_features,max_leaf_nodes,ac(train),ac(test),pr(train),pr(test),re(train),re(test),f1(train),f1(test)
0,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,14,100,0.7527152508902917,0.7523112195843503,0.6847742228273201,0.6764302059496567,0.36290826879599786,0.3587378640776699,0.4743998868155879,0.4688342585249802
1,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,14,200,0.7623670109497553,0.7604615043266031,0.703252732122881,0.6907359307359308,0.3931165520227043,0.38728155339805825,0.5043196544276458,0.496298600311042
2,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,14,300,0.7691750148844192,0.7659640559130242,0.7197880233174351,0.7045376712328767,0.40834094954062244,0.3994660194174757,0.5210732672963455,0.5098513011152416
3,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,14,400,0.7738270892732335,0.7685378300421567,0.7296744147192115,0.709015701502617,0.4201621049593535,0.40771844660194173,0.5332610902097848,0.5177217530666337
4,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,14,500,0.7786418753258856,0.7716589009688632,0.7417754623383632,0.7164779874213837,0.4297705517340901,0.4147572815533981,0.5442265961091864,0.525380476556495
5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,14,600,0.7825247673038308,0.7748243473115893,0.7485554443922657,0.7227607921120225,0.44088219731588824,0.42344660194174755,0.5549257187833471,0.5340230799840827
6,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,14,700,0.7867478745788912,0.7759633163227572,0.7583885813920483,0.7253719008264463,0.4498292366155178,0.4260679611650485,0.5647083688735572,0.5368195718654434
7,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,14,800,0.7899355439931661,0.7784483396198506,0.7647756274994474,0.729807063440157,0.45764587041223725,0.4333495145631068,0.5726280310268815,0.5437987329434698
8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,14,900,0.7930862334838417,0.7785222986465498,0.7708652792990143,0.7281277872374929,0.46549858098032615,0.43592233009708736,0.5804710169377151,0.5453496492879483
9,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,14,1000,0.7963811446765551,0.7815250351305377,0.7778173331751117,0.7353463587921847,0.47294242147289434,0.4421359223300971,0.5882229767121853,0.5522342812102103
